Etapa,Fecha,Partido,Sede,Estadio
Grupo A,Jueves 11/06/2026,México vs Sudáfrica,Ciudad de México,Estadio Ciudad de México
Grupo A,Jueves 11/06/2026,Corea del Sur vs República Checa,Guadalajara,Estadio Guadalajara
Grupo A,Jueves 18/06/2026,República Checa vs Sudáfrica,Atlanta,Estadio Atlanta
Grupo A,Jueves 18/06/2026,México vs Corea del Sur,Guadalajara,Estadio Guadalajara
Grupo A,Miércoles 24/06/2026,República Checa vs México,Ciudad de México,Estadio Ciudad de México
Grupo A,Miércoles 24/06/2026,Sudáfrica vs Corea del Sur,Monterrey,Estadio Monterrey
Grupo B,Viernes 12/06/2026,Canadá vs Bosnia y Herzegovina,Toronto,Estadio Toronto
Grupo B,Sábado 13/06/2026,Catar vs Suiza,San Francisco,Estadio San Francisco
Grupo B,Jueves 18/06/2026,Suiza vs Bosnia y Herzegovina,Los Ángeles,Estadio Los Ángeles
Grupo B,Jueves 18/06/2026,Canadá vs Catar,Vancouver,BC Place Vancouver
Grupo B,Miércoles 24/06/2026,Suiza vs Canadá,Vancouver,BC Place Vancouver
Grupo B,Miércoles 24/06/2026,Bosnia y Herzegovina vs Catar,Seattle,Estadio Seattle
Grupo C,Sábado 13/06/2026,Haití vs Escocia,Boston,Estadio Boston
Grupo C,Sábado 13/06/2026,Brasil vs Marruecos,Nueva York/Nueva Jersey,Estadio Nueva York Nueva Jersey
Grupo C,Viernes 19/06/2026,Escocia vs Marruecos,Boston,Estadio Boston
Grupo C,Viernes 19/06/2026,Brasil vs Haití,Filadelfia,Estadio Filadelfia
Grupo C,Miércoles 24/06/2026,Escocia vs Brasil,Miami,Estadio Miami
Grupo C,Miércoles 24/06/2026,Marruecos vs Haití,Atlanta,Estadio Atlanta
Grupo D,Viernes 12/06/2026,Estados Unidos vs Paraguay,Los Ángeles,Estadio Los Ángeles
Grupo D,Sábado 13/06/2026,Australia vs Turquía,Vancouver,BC Place Vancouver
Grupo D,Viernes 19/06/2026,Turquía vs Paraguay,San Francisco,Estadio San Francisco
Grupo D,Viernes 19/06/2026,Estados Unidos vs Australia,Seattle,Estadio Seattle
Grupo D,Jueves 25/06/2026,Turquía vs Estados Unidos,Los Ángeles,Estadio Los Ángeles
Grupo D,Jueves 25/06/2026,Paraguay vs Australia,San Francisco,Estadio San Francisco
Grupo E,Domingo 14/06/2026,Costa de Marfil vs Ecuador,Filadelfia,Estadio Filadelfia
Grupo E,Domingo 14/06/2026,Alemania vs Curazao,Houston,Estadio Houston
Grupo E,Sábado 20/06/2026,Alemania vs Costa de Marfil,Toronto,Estadio Toronto
Grupo E,Sábado 20/06/2026,Ecuador vs Curazao,Kansas City,Estadio Kansas City
Grupo E,Jueves 25/06/2026,Curazao vs Costa de Marfil,Filadelfia,Estadio Filadelfia
Grupo E,Jueves 25/06/2026,Ecuador vs Alemania,Nueva York/Nueva Jersey,Estadio Nueva York Nueva Jersey
Grupo F,Domingo 14/06/2026,Países Bajos vs Japón,Dallas,Estadio Dallas
Grupo F,Domingo 14/06/2026,Suecia vs Túnez,Monterrey,Estadio Monterrey
Grupo F,Sábado 20/06/2026,Países Bajos vs Suecia,Houston,Estadio Houston
Grupo F,Sábado 20/06/2026,Túnez vs Japón,Monterrey,Estadio Monterrey
Grupo F,Jueves 25/06/2026,Japón vs Suecia,Dallas,Estadio Dallas
Grupo F,Jueves 25/06/2026,Túnez vs Países Bajos,Kansas City,Estadio Kansas City
Grupo G,Lunes 15/06/2026,Irán vs Nueva Zelanda,Los Ángeles,Estadio Los Ángeles
Grupo G,Lunes 15/06/2026,Bélgica vs Egipto,Seattle,Estadio Seattle
Grupo G,Domingo 21/06/2026,Bélgica vs Irán,Los Ángeles,Estadio Los Ángeles
Grupo G,Domingo 21/06/2026,Nueva Zelanda vs Egipto,Vancouver,BC Place Vancouver
Grupo G,Viernes 26/06/2026,Egipto vs Irán,Seattle,Estadio Seattle
