grupo,seleccion
A,México
A,Sudáfrica
A,Corea del Sur
A,República Checa
B,Canadá
B,Bosnia y Herzegovina
B,Catar
B,Suiza
C,Brasil
C,Marruecos
C,Haití
C,Escocia
D,Estados Unidos
D,Paraguay
D,Australia
D,Turquía
E,Alemania
E,Curazao
E,Costa de Marfil
E,Ecuador
F,Países Bajos
F,Japón
F,Suecia
F,Túnez
G,Bélgica
G,Egipto
G,Irán
G,Nueva Zelanda
H,España
H,Cabo Verde
H,Arabia Saudita
H,Uruguay
I,Francia
I,Senegal
I,Irak
I,Noruega
J,Argentina
J,Argelia
J,Austria
J,Jordania
K,Portugal
K,R.D. del Congo
K,Uzbekistán
K,Colombia
L,Inglaterra
L,Croacia
L,Ghana
L,Panamá
